init_date,valid_date,lead_day,lat,lon,region,season,month,day_of_year,year,event_type,forecast_t2m,forecast_msl,forecast_rain,forecast_u10,forecast_v10,forecast_rh,forecast_z500,forecast_u850,forecast_v850,forecast_q850,forecast_wind_speed_10m,forecast_wind_speed_850,nbhd_rain_mean,nbhd_rain_std,nbhd_msl_std,abs_error_rain,abs_error_t2m,abs_error_msl,bust
2019-06-01,2019-06-02,1,8.0,70.0,south,monsoon,6,152,2019,normal,28.499542236328125,1007.6743774414062,0.00762939453125,1.59912109375,0.507537841796875,77.31697845458984,5868.888671875,0.753753662109375,0.5901031494140625,0.0127332769334316,1.6777314842763207,0.9572702387997285,2.0116170247395835,3.5835782189655565,0.4020429439837102,0.2009589225053787,0.201263427734375,1.00250244140625,0
2019-06-01,2019-06-02,1,8.0,73.0,south,monsoon,6,152,2019,normal,26.931182861328125,1008.546875,8.7127685546875,3.18408203125,1.818084716796875,82.89556884765625,5872.814453125,1.652191162109375,2.2444000244140625,0.0134399496018886,3.666580207656652,2.786945838322333,3.12042236328125,3.526475286891294,0.40501587076911094,7.094509840011597,0.394439697265625,0.83740234375,1
2019-06-01,2019-06-02,1,8.0,76.0,south,monsoon,6,152,2019,normal,28.013214111328125,1008.0218505859376,1.99127197265625,5.22119140625,2.235076904296875,81.65060424804688,5871.71826171875,4.779144287109375,2.0783843994140625,0.013431366533041,5.679472551991087,5.211516269641488,3.1034681532118054,3.540267019455356,0.8299090112189977,4.538355350494385,0.3404541015625,0.333984375,1
2019-06-01,2019-06-02,1,8.0,79.0,south,monsoon,6,152,2019,normal,28.847198486328125,1007.3244018554688,0.0762939453125,6.63134765625,5.770233154296875,77.7926025390625,5864.63134765625,9.484222412109377,4.127212524414063,0.0130818448960781,8.79035621536461,10.343324319774474,1.1622111002604163,1.9860505706491884,0.9406424239817535,0.3107823431491852,0.73046875,0.016662597656363687,0
2019-06-01,2019-06-02,1,8.0,82.0,south,monsoon,6,152,2019,normal,29.083526611328125,1006.5718994140624,0.0,3.33056640625,1.118865966796875,55.66379928588867,5858.8955078125,11.183441162109377,3.0022125244140625,0.0103219114243984,3.5134788512380926,11.579405695808012,0.8985731336805554,2.4796947935142035,0.6089177157221825,9.313225746154783e-06,0.181640625,0.49267578125,0
2019-06-01,2019-06-02,1,8.0,85.0,south,monsoon,6,152,2019,normal,29.087432861328125,1007.0843505859376,0.0,8.53662109375,6.791717529296875,72.04206848144531,5860.47607421875,8.890472412109375,1.3928375244140625,0.0123813711106777,10.90877292347842,8.998916383648298,1.4478895399305554,2.479253970035795,0.6818571693751541,0.5405545234680176,0.10894775390624645,0.2962036132813637,0
2019-06-01,2019-06-02,1,8.0,88.0,south,monsoon,6,152,2019,normal,28.601104736328125,1007.9393920898438,0.99945068359375,6.32861328125,4.556365966796875,71.1052017211914,5864.8349609375,8.945159912109375,0.5940093994140625,0.0118167959153652,7.798193180923303,8.964861015085559,2.838134765625,2.815282190241841,0.7597636422619285,0.1668297052383425,0.637237548828125,0.4241333007813637,0
2019-06-01,2019-06-02,1,8.0,91.0,south,monsoon,6,152,2019,normal,26.563995361328125,1009.0618896484376,5.8746337890625,5.65673828125,3.252655029296875,87.41006469726562,5865.44677734375,7.023284912109375,0.4319000244140625,0.0135877691209316,6.525216680093425,7.036552322533533,2.9644436306423607,1.8125485826406458,0.6877059380013258,2.9145219326019283,1.332977294921875,0.8361206054688637,0
2019-06-01,2019-06-02,1,8.0,94.0,south,monsoon,6,152,2019,normal,27.278839111328125,1009.0543823242188,3.16619873046875,2.87548828125,4.157928466796875,83.67597198486328,5872.1259765625,3.753753662109375,1.5295562744140625,0.0132816396653652,5.05537357577122,4.053419414814974,3.403557671440972,1.4994664166053115,0.5626083707765855,2.801364302635193,0.599029541015625,0.141357421875,0
2019-06-01,2019-06-02,1,11.0,70.0,south,monsoon,6,152,2019,normal,28.442901611328125,1007.5543823242188,0.2899169921875,1.74658203125,0.896209716796875,74.16201782226562,5873.45166015625,-0.109527587890625,-1.0095062255859375,0.01261692866683,1.9630946610814546,1.0154305057491153,1.044379340277778,2.7135235726412286,0.3522215006330689,0.28992630541324615,0.849029541015625,0.7446899414063637,0
