init_date,valid_date,lead_day,lat,lon,region,season,event_type,forecast_t2m,forecast_msl,forecast_rain,forecast_u10,forecast_v10,forecast_rh,forecast_z500,forecast_u850,forecast_v850,forecast_q850,actual_t2m,actual_msl,actual_rain,actual_u10,actual_v10,actual_rh,actual_z500,actual_u850,actual_v850,actual_q850
2019-06-01,2019-06-02,1,8.0,70.0,south,monsoon,normal,28.499542236328125,1007.6743774414062,0.00762939453125,1.59912109375,0.507537841796875,77.31697845458984,5868.888671875,0.753753662109375,0.5901031494140625,0.012733276933431625,28.29827880859375,1006.671875,0.20858831703662872,1.0490984916687012,0.10275459289550781,73.31851196289062,5876.69873046875,-1.1125257015228271,-0.0746622085571289,0.01211644522845745
2019-06-01,2019-06-02,1,8.0,73.0,south,monsoon,normal,26.931182861328125,1008.546875,8.7127685546875,3.18408203125,1.818084716796875,82.89556884765625,5872.814453125,1.652191162109375,2.2444000244140625,0.013439949601888657,27.32562255859375,1007.70947265625,1.6182587146759033,1.1432795524597168,-0.3807915449142456,85.69010925292969,5872.46337890625,-0.3085359036922455,1.8113908767700195,0.014160769991576672
2019-06-01,2019-06-02,1,8.0,76.0,south,monsoon,normal,28.013214111328125,1008.0218505859375,1.99127197265625,5.22119140625,2.235076904296875,81.65060424804688,5871.71826171875,4.779144287109375,2.0783843994140625,0.013431366533041,28.353668212890625,1007.6878662109375,6.529627323150635,3.698265552520752,3.427133798599243,79.2300033569336,5868.97412109375,3.303985834121704,2.4594507217407227,0.012794112786650658
2019-06-01,2019-06-02,1,8.0,79.0,south,monsoon,normal,28.847198486328125,1007.3244018554688,0.0762939453125,6.63134765625,5.770233154296875,77.7926025390625,5864.63134765625,9.484222412109375,4.1272125244140625,0.01308184489607811,28.116729736328125,1007.3077392578125,0.3870762884616852,7.114706039428711,6.381104469299316,80.05494689941406,5857.86083984375,8.419914245605469,5.427664756774902,0.013041649013757706
2019-06-01,2019-06-02,1,8.0,82.0,south,monsoon,normal,29.083526611328125,1006.5718994140625,0.0,3.33056640625,1.118865966796875,55.66379928588867,5858.8955078125,11.183441162109375,3.0022125244140625,0.010321911424398422,29.265167236328125,1006.0792236328125,-9.313225746154785e-06,1.897592544555664,1.9454989433288574,49.85777282714844,5858.38525390625,9.032413482666016,2.469344139099121,0.009177299216389656
2019-06-01,2019-06-02,1,8.0,85.0,south,monsoon,normal,29.087432861328125,1007.0843505859375,0.0,8.53662109375,6.791717529296875,72.04206848144531,5860.47607421875,8.890472412109375,1.3928375244140625,0.012381371110677719,29.196380615234375,1006.7881469726562,0.5405545234680176,6.030327796936035,6.524463653564453,70.17750549316406,5858.66796875,7.823712348937988,2.4075069427490234,0.011763758957386017
2019-06-01,2019-06-02,1,8.0,88.0,south,monsoon,normal,28.601104736328125,1007.9393920898438,0.99945068359375,6.32861328125,4.556365966796875,71.1052017211914,5864.8349609375,8.945159912109375,0.5940093994140625,0.011816795915365219,27.9638671875,1007.5152587890625,1.1662803888320923,4.523429870605469,4.310535430908203,68.73400115966797,5861.6328125,7.846799850463867,1.0495491027832031,0.011252603493630886
2019-06-01,2019-06-02,1,8.0,91.0,south,monsoon,normal,26.563995361328125,1009.0618896484375,5.8746337890625,5.65673828125,3.252655029296875,87.41006469726562,5865.44677734375,7.023284912109375,0.4319000244140625,0.013587769120931625,27.89697265625,1008.2257690429688,2.9601118564605713,5.614721298217773,1.5068979263305664,70.08141326904297,5862.5,6.344751358032227,0.4311704635620117,0.011436988599598408
2019-06-01,2019-06-02,1,8.0,94.0,south,monsoon,normal,27.278839111328125,1009.0543823242188,3.16619873046875,2.87548828125,4.157928466796875,83.67597198486328,5872.1259765625,3.753753662109375,1.5295562744140625,0.013281639665365219,27.87786865234375,1008.9130249023438,0.36483442783355713,4.6305718421936035,2.225242853164673,75.4240493774414,5866.7958984375,5.13740873336792,1.2993736267089844,0.011948144063353539
2019-06-01,2019-06-02,1,11.0,70.0,south,monsoon,normal,28.442901611328125,1007.5543823242188,0.2899169921875,1.74658203125,0.896209716796875,74.16201782226562,5873.45166015625,-0.109527587890625,-1.0095062255859375,0.012616928666830063,29.29193115234375,1006.8096923828125,-9.313225746154785e-06,-0.5035932064056396,-0.6210147142410278,47.79617691040039,5871.53564453125,-0.7933744192123413,1.1398324966430664,0.00849367305636406
2019-06-01,2019-06-02,1,11.0,73.0,south,monsoon,normal,29.267120361328125,1007.4043579101562,0.06866455078125,3.00341796875,1.777069091796875,74.72221374511719,5874.90478515625,-0.556793212890625,1.4865875244140625,0.01289111003279686,28.57916259765625,1007.0022583007812,0.22392719984054565,0.6689181327819824,1.4092588424682617,83.6006088256836,5873.33056640625,-0.274583637714386,1.876938819885254,0.014341580681502819
2019-06-01,2019-06-02,1,11.0,76.0,south,monsoon,normal,24.728057861328125,1008.3418579101562,6.3018798828125,-1.10205078125,-0.896759033203125,87.08507537841797,5870.31591796875,4.367034912109375,1.8342437744140625,0.014368351548910141,27.694427490234375,1007.9170532226562,2.8334801197052,-0.7774960994720459,0.634345293045044,93.49649047851562,5869.27685546875,3.7453653812408447,2.8255300521850586,0.015115463174879551
2019-06-01,2019-06-02,1,11.0,79.0,south,monsoon,normal,28.583526611328125,1005.7568969726562,0.0,3.21826171875,1.846405029296875,72.33930206298828,5869.8828125,2.820159912109375,-1.4255218505859375,0.014147575944662094,30.56072998046875,1005.4218139648438,-9.313225746154785e-06,1.8466134071350098,2.5917766094207764,72.42656707763672,5867.64306640625,4.788379192352295,-0.3887977600097656,0.013833701610565186
2019-06-01,2019-06-02,1,11.0,82.0,south,monsoon,normal,30.024932861328125,1005.5918579101562,0.02288818359375,8.44384765625,6.354217529296875,72.74784088134766,5857.08544921875,7.177581787109375,1.3791656494140625,0.013343628495931625,29.725677490234375,1005.4002075195312,0.009298324584960938,6.794144630432129,6.236969947814941,70.38103485107422,5854.71484375,4.8983845710754395,0.2122650146484375,0.012948711402714252
2019-06-01,2019-06-02,1,11.0,85.0,south,monsoon,normal,26.671417236328125,1007.0343627929688,7.91168212890625,3.10205078125,2.079803466796875,94.04640197753906,5859.7109375,9.388519287109375,2.8459625244140625,0.014708336442708969,28.760711669921875,1006.2966918945312,1.3695415258407593,1.452608585357666,4.3771772384643555,73.19153594970703,5858.0830078125,6.260550022125244,-0.011588096618652344,0.012155168689787388
2019-06-01,2019-06-02,1,11.0,88.0,south,monsoon,normal,27.593292236328125,1007.234375,3.0975341796875,4.55126953125,4.099334716796875,76.93112182617188,5865.7021484375,5.173675537109375,1.5256500244140625,0.012537773698568344,27.631378173828125,1006.9873657226562,1.0693464279174805,3.6783924102783203,5.289250373840332,77.81413269042969,5861.55224609375,5.487796306610107,1.449021339416504,0.012733643874526024
2019-06-01,2019-06-02,1,11.0,91.0,south,monsoon,normal,28.097198486328125,1007.58935546875,0.78582763671875,3.96435546875,4.357147216796875,82.54148864746094,5868.2255859375,5.021331787109375,2.4260406494140625,0.013423260301351547,28.611663818359375,1007.56005859375,0.4419200122356415,5.696805000305176,3.504625082015991,71.03462219238281,5864.173828125,6.559329986572266,2.7748231887817383,0.011786993592977524
2019-06-01,2019-06-02,1,11.0,94.0,south,monsoon,normal,27.845245361328125,1008.0443725585938,2.716064453125,2.69970703125,5.626678466796875,83.61770629882812,5873.40087890625,3.757659912109375,4.2287750244140625,0.013658341020345688,27.923736572265625,1008.214111328125,2.5627965927124023,3.832192897796631,3.844036817550659,82.88839721679688,5871.1123046875,3.8200602531433105,4.628720283508301,0.013394929468631744
2019-06-01,2019-06-02,1,14.0,70.0,south,monsoon,normal,29.181182861328125,1007.3418579101562,0.00762939453125,2.23974609375,-1.375274658203125,29.121667861938477,5883.037109375,-0.316558837890625,1.3322906494140625,0.00592547282576561,29.12567138671875,1007.0354614257812,0.0009313225746154785,1.8215560913085938,-1.1200590133666992,17.81692886352539,5877.72802734375,-0.1387745440006256,-0.15381431579589844,0.0037157367914915085
2019-06-01,2019-06-02,1,14.0,73.0,south,monsoon,normal,29.499542236328125,1007.4143676757812,0.00762939453125,3.06298828125,-0.771759033203125,54.08644485473633,5882.09375,0.767425537109375,1.9143218994140625,0.009910877794027328,28.88299560546875,1007.0006103515625,0.03330036997795105,3.541008949279785,-1.2068493366241455,52.99278259277344,5878.3935546875,0.38952282071113586,3.318995475769043,0.009751008823513985
2019-06-01,2019-06-02,1,14.0,76.0,south,monsoon,normal,23.962432861328125,1009.046875,0.00762939453125,4.96533203125,0.536834716796875,78.29672241210938,5879.111328125,6.533050537109375,-0.3317718505859375,0.014490898698568344,24.6236572265625,1008.5296020507812,0.0017248094081878662,3.538416862487793,0.18334555625915527,70.81864929199219,5874.31884765625,7.046884536743164,0.2370004653930664,0.013597187586128712
