roc_auc,pr_auc,precision,recall,f1,brier,lead_day
0.569078947368421,0.42648827112191406,1.0,0.125,0.2222222222222222,0.21019598381197213,1
0.7720588235294118,0.44495934414076044,0.0,0.0,0.0,0.14847352976043982,2
0.7711397058823529,0.4840432185633424,1.0,0.11764705882352941,0.21052631578947367,0.14020124759177097,3
0.6604938271604939,0.3869492783646946,0.0,0.0,0.0,0.1644187712752577,4
0.6738095238095239,0.3597045674731097,0.25,0.047619047619047616,0.08,0.1869537054727565,5
0.6533653846153846,0.2997935008667614,0.5,0.125,0.2,0.16597218171011996,6
0.6865808823529411,0.3808587325905012,0.5,0.11764705882352941,0.19047619047619047,0.1601927635534285,7
0.759700176366843,0.48276661968522433,0.7,0.3888888888888889,0.5,0.1582861978168934,8
0.6162698412698413,0.41167725934603994,0.8,0.19047619047619047,0.3076923076923077,0.18251889606899396,9
0.6532258064516129,0.38832524593048917,0.6666666666666666,0.10526315789473684,0.18181818181818182,0.17127691615954735,10
